Round,Category,Value,Clue,Answer,Explanation
1,Science,100,"The p of the cell.","What is the mitochondria?","Mitochondria generate energy through cellular respiration."
1,Science,200,"The chemical symbol for water.","What is H2O?","H2O is the chemical formula for water."
1,Science,300,"The planet closest to the sun.","What is Mercury?","Mercury is the smallest and innermost planet."
1,Science,400,"The speed of light in a vacuum (approximate).","What is approximately 299792458 meters per second?","The speed of light is a fundamental constant."
1,Science,500,"The process by which plants make food using sunlight.","What is photosynthesis?","Photosynthesis converts light energy into chemical energy."
1,History,100,"The year World War II ended.","What is 1945?","Japan surrendered in 1945."
1,History,200,"The first President of the United States.","Who is George Washington?","Washington served from 1789 to 1797."
1,History,300,"The ancient wonder located in Giza Egypt.","What are the Great Pyramids?","The Pyramids of Giza are among the Seven Wonders."
1,History,400,"The wall that divided East and West Berlin.","What is the Berlin Wall?","The Berlin Wall fell in 1989."
1,History,500,"The ship that sank in 1912 after hitting an iceberg.","What is the Titanic?","The Titanic sank on its maiden voyage."
1,Geography,100,"The largest ocean on Earth.","What is the Pacific Ocean?","The Pacific covers about 63 million square miles."
1,Geography,200,"The longest river in the world.","What is the Nile River?","The Nile flows through northeastern Africa."
1,Geography,300,"The smallest country in the world.","What is Vatican City?","Vatican City is an independent city-state."
1,Geography,400,"The mountain range that separates Europe and Asia.","What are the Ural Mountains?","The Urals run from north to south in Russia."
1,Geography,500,"The country known as the Land of the Rising Sun.","What is Japan?","Japan is an island nation in East Asia."
1,Literature,100,"The author of Romeo and Juliet.","Who is William Shakespeare?","Shakespeare wrote many famous plays."
1,Literature,200,"The novel about a whale and Captain Ahab.","What is Moby Dick?","Moby Dick was written by Herman Melville."
1,Literature,300,"The author who wrote 1984 and Animal Farm.","Who is George Orwell?","Orwell was a British novelist and essayist."
1,Literature,400,"The epic poem about Odysseus's journey home.","What is The Odyssey?","The Odyssey was written by Homer."
1,Literature,500,"The author of To Kill a Mockingbird.","Who is Harper Lee?","Harper Lee published the novel in 1960."
1,Movies,100,"The wizard school attended by Harry Potter.","What is Hogwarts?","Hogwarts is a fictional school of magic."
1,Movies,200,"The planet where Luke Skywalker grew up.","What is Tatooine?","Tatooine is a desert planet in Star Wars."
1,Movies,300,"The year the first Toy Story movie was released.","What is 1995?","Toy Story was the first feature-length CGI film."
