Type,Round,Category,CategoryVI,Value,Clue,Answer,Explanation,ClueVI,AnswerVI,ExplanationVI
board,1,Science,Khoa học,100,The powerhouse of the cell.,What is the mitochondria?,Mitochondria generate energy through cellular respiration.,Bào quan tạo năng lượng cho tế bào.,Thành phần ti thể là gì?,Ti thể tạo năng lượng qua hô hấp tế bào.
board,1,Science,Khoa học,200,The chemical symbol for water.,What is H2O?,H2O is the chemical formula for water.,Ký hiệu hóa học của nước.,H2O là gì?,Hai nguyên tử hydro và một nguyên tử oxy.
board,1,Science,Khoa học,300,The planet closest to the sun.,What is Mercury?,Mercury is the smallest and innermost planet.,Hành tinh gần Mặt Trời nhất.,Thủy tinh là gì?,Hành tinh nhỏ nhất và gần Mặt Trời nhất.
board,1,Science,Khoa học,400,The speed of light in a vacuum (approximate).,What is approximately 299792458 meters per second?,The speed of light is a fundamental constant.,Tốc độ ánh sáng trong chân không (xấp xỉ).,Khoảng 299.792.458 mét/giây là gì?,Hằng số cơ bản trong vật lý.
board,1,Science,Khoa học,500,The process by which plants make food using sunlight.,What is photosynthesis?,Photosynthesis converts light energy into chemical energy.,Quá trình thực vật tạo chất hữu cơ nhờ ánh sáng.,Quang hợp là gì?,Chuyển năng lượng ánh sáng thành hóa năng lượng.
board,1,History,Lịch sử,100,The year World War II ended.,What is 1945?,Japan surrendered in 1945.,Năm Thế chiến II kết thúc.,1945 là gì?,Nhật Bản đầu hàng năm 1945.
board,1,History,Lịch sử,200,The first President of the United States.,Who is George Washington?,Washington served from 1789 to 1797.,Tổng thống đầu tiên của Hoa Kỳ.,George Washington là ai?,Ông phục vụ từ 1789 đến 1797.
board,1,History,Lịch sử,300,The ancient wonder located in Giza Egypt.,What are the Great Pyramids?,The Pyramids of Giza are among the Seven Wonders.,Kỳ quan cổ đại ở Giza Ai Cập.,Kim tự tháp Giza là gì?,Một trong Bảy kỳ quan thế giới cổ đại.
board,1,History,Lịch sử,400,The wall that divided East and West Berlin.,What is the Berlin Wall?,The Berlin Wall fell in 1989.,Bức tường chia Đông và Tây Berlin.,Bức tường Berlin là gì?,Sụp đổ năm 1989.
board,1,History,Lịch sử,500,The ship that sank in 1912 after hitting an iceberg.,What is the Titanic?,The Titanic sank on its maiden voyage.,Con tàu chìm năm 1912 sau khi va tảng băng.,Titanic là gì?,Chìm trong chuyến đầu tiên.
board,1,Geography,Địa lý,100,The largest ocean on Earth.,What is the Pacific Ocean?,The Pacific covers about 63 million square miles.,Đại dương lớn nhất trên Trái Đất.,Thái Bình Dương là gì?,Rộng khoảng 63 triệu dặm vuông.
board,1,Geography,Địa lý,200,The longest river in the world.,What is the Nile River?,The Nile flows through northeastern Africa.,Con sông dài nhất thế giới.,Sông Nile là gì?,Chảy qua Đông Bắc châu Phi.
board,1,Geography,Địa lý,300,The smallest country in the world.,What is Vatican City?,Vatican City is an independent city-state.,Quốc gia nhỏ nhất thế giới.,Vatican là gì?,Thành quốc độc lập.
board,1,Geography,Địa lý,400,The mountain range that separates Europe and Asia.,What are the Ural Mountains?,The Urals run from north to south in Russia.,Dãy núi chia châu Âu và châu Á.,Dãy Ural là gì?,Chạy dọc nước Nga.
board,1,Geography,Địa lý,500,The country known as the Land of the Rising Sun.,What is Japan?,Japan is an island nation in East Asia.,Đất nước được gọi là xứ sở mặt trời mọc.,Nhật Bản là gì?,Quốc đảo ở Đông Á.
board,1,Literature,Văn học,100,The author of Romeo and Juliet.,Who is William Shakespeare?,Shakespeare wrote many famous plays.,Tác giả Romeo và Juliet.,William Shakespeare là ai?,Ông viết nhiều vở kịch nổi tiếng.
board,1,Literature,Văn học,200,The novel about a whale and Captain Ahab.,What is Moby Dick?,Moby Dick was written by Herman Melville.,Tiểu thuyết về cá voi và thuyền trưởng Ahab.,Moby Dick là gì?,Herman Melville là tác giả.
board,1,Literature,Văn học,300,The author who wrote 1984 and Animal Farm.,Who is George Orwell?,Orwell was a British novelist and essayist.,Tác giả 1984 và Trại súc vật.,George Orwell là ai?,Nhà văn và nhà bình luận người Anh.
board,1,Literature,Văn học,400,The epic poem about Odysseus's journey home.,What is The Odyssey?,The Odyssey was written by Homer.,Sử thi về hành trình về nhà của Odysseus.,Odyssey là gì?,Homer là tác giả.
board,1,Literature,Văn học,500,The author of To Kill a Mockingbird.,Who is Harper Lee?,Harper Lee published the novel in 1960.,Tác giả Giết con chim nhại.,Harper Lee là ai?,Xuất bản tiểu thuyết năm 1960.
board,1,Movies,Điện ảnh,100,The wizard school attended by Harry Potter.,What is Hogwarts?,Hogwarts is a fictional school of magic.,Trường phù thủy Harry Potter theo học.,Hogwarts là gì?,Trường phép thuật hư cấu.
board,1,Movies,Điện ảnh,200,The planet where Luke Skywalker grew up.,What is Tatooine?,Tatooine is a desert planet in Star Wars.,Hành tinh Luke Skywalker lớn lên.,Tatooine là gì?,Hành tinh sa mạc trong Star Wars.
board,1,Movies,Điện ảnh,300,The year the first Toy Story movie was released.,What is 1995?,Toy Story was the first feature-length CGI film.,Năm phim Toy Story đầu tiên ra mắt.,1995 là gì?,Phim hoạt hình CGI dài đầu tiên.
board,1,Movies,Điện ảnh,400,The actor who played Tony Stark in the Marvel movies.,Who is Robert Downey Jr.?,Downey Jr. played Iron Man in the MCU.,Diễn viên đóng Tony Stark trong Marvel.,Robert Downey Jr. là ai?,Đóng Iron Man trong MCU.
board,1,Movies,Điện ảnh,500,The movie with the quote May the Force be with you.,What is Star Wars?,Star Wars was created by George Lucas.,Phim có câu Chúc Thần Lực ở cùng anh.,Star Wars là gì?,George Lucas là người sáng tạo.
board,1,Sports,Thể thao,100,The number of players on a basketball team on the court.,What is 5?,Each team has 5 players on the court.,Số cầu thủ một đội bóng rổ trên sân.,5 là gì?,Mỗi đội có 5 người trên sân.
board,1,Sports,Thể thao,200,The sport played at Wimbledon.,What is tennis?,Wimbledon is a Grand Slam tennis tournament.,Môn thi đấu ở Wimbledon.,Quần vợt là gì?,Giải Grand Slam danh tiếng.
